Date, Close/Last, Volume, Open, High, Low
10/01/2019, 2937.8, 37, 2991, 2991, 2987.3
09/30/2019, 2978.5, 27, 2974, 2975, 2968.2
09/27/2019, 2963.8, 17, 2973.3, 2989.4, 2973.3
09/26/2019, 2980.5, 7, 2983, 2991.1, 2980.2
09/25/2019, 2986.3, 40, 2971.3, 2973.2, 2959.7
09/24/2019, 2970.2, 51, 3007.4, 3012, 3002.2
09/23/2019, 2997.1, 21, 3003, 3003.3, 2987.9
09/20/2019, 2989.5, 118, 3010.5, 3015.7, 3010.5
09/19/2019, 3007.9, 7, 3008.3, 3008.3, 3001
09/18/2019, 3008.6, 30, 3004.2, 3012.6, 3003.5
09/17/2019, 3007.9, 28, 3005.5, 3005.5, 2996.5
09/16/2019, 3001.5, 23, 2994.4, 3005.1, 2987.5
09/13/2019, 3008.6, 5, 3019.7, 3025.3, 3009.2
09/12/2019, 3011.8, 73, 3002.4, 3017.5, 3002.4
09/11/2019, 3002, 16, 2985.7, 3004, 2979.5
09/10/2019, 2978.5, 30, 2972.8, 2973.6, 2967.3
09/09/2019, 2978.2, 34, 2984.7, 2990.8, 2984.4
09/06/2019, 2980.8, 33, 2979, 2983.9, 2978.2
09/05/2019, 2972, 94, 2938, 2970, 2937
09/04/2019, 2938.5, 64, 2902.8, 2935.3, 2902.8
09/03/2019, 2905.9, 206, 2898.5, 2920.9, 2890.3
08/30/2019, 2942, 33, 2922.4, 2944.6, 2922.4
08/29/2019, 2926.7, 50, 2884.2, 2919.7, 2883.5
08/28/2019, 2889.8, 49, 2872.6, 2888.5, 2856.7
08/27/2019, 2865.4, 77, 2882, 2894.6, 2870.9
08/26/2019, 2883.3, 343, 2820.7, 2887.6, 2811.3
08/23/2019, 2855.6, 208, 2923.5, 2936.5, 2849.7
08/22/2019, 2922.3, 40, 2933.3, 2937, 2925.2
08/21/2019, 2929.2, 25, 2897.7, 2920.3, 2897.7
08/20/2019, 2898.2, 38, 2921.8, 2932, 2898
08/19/2019, 2923.7, 47, 2904.2, 2923.7, 2901.5
08/16/2019, 2891.5, 102, 2851.3, 2893, 2850.3
08/15/2019, 2848.6, 322, 2836.6, 2870.6, 2819.3
08/14/2019, 2840.7, 96, 2930, 2935, 2836.7
08/13/2019, 2932, 64, 2882.1, 2933, 2868.4
08/12/2019, 2880.3, 73, 2922.8, 2930.4, 2881.3
08/09/2019, 2919.7, 132, 2930.2, 2933.7, 2916.5
08/08/2019, 2940.1, 116, 2883.7, 2894, 2874.3
